transaction UUID,Driver UUID,Driver first name,Driver surname,Trip UUID,Description,Organisation name,Org alias,vs reporting,Paid to you,Paid to you : Your earnings,Paid to you : Trip balance : Payouts : Cash collected,Paid to you : Your earnings : Fare,Paid to you : Your earnings : Taxes,Paid to you:Your earnings:Fare:Fare,Paid to you:Your earnings:Fare:Booking fee,Paid to you:Your earnings:Taxes:Income tax withholding,Paid to you:Your earnings:Fare:Cancellation,Paid to you:Your earnings:Other fees:Platform fee,Paid to you:Trip balance:Refunds:IGST Support services,Paid to you:Trip balance:Expenses:IGST Support services,Paid to you:Your earnings:Tip,Paid to you:Trip balance:Refunds:Toll,Paid to you:Your earnings:Fare:Surge,Paid to you:Your earnings:Fare:Wait Time at Pick-up,Paid to you:Your earnings:Fare:UberX Priority,Paid to you:Your earnings:Fare:Reservation Fee,Paid to you:Your earnings:Fare:Outskirt Surcharge,Paid to you:Trip balance:Expenses:Driver subscription charge
TXN_0E6846E8,DRIVER_FCFB4131,ANON,DRIVER,TRIP_5F9100B7,trip completed order,Fleet_Operator_India,FOC,2025-04-18 08:10:21,-22.86,402.1,-479.97,402.1,0,342.1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,55.01,0.0,0.0,0.0,0.0,0.0,0.0
TXN_79B3C85F,DRIVER_FCFB4131,ANON,DRIVER,TRIP_5F9100B7,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 08:10:24,-0.48,-0.48,0.0,0.0,0,0.0,0.0,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_A86DA737,DRIVER_6D3A78A4,ANON,DRIVER,TRIP_4DAFD192,trip completed order,Fleet_Operator_India,FOC,2025-04-18 08:11:00,1.36,485.29,-539.93,485.29,0,425.29,60.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_081E9335,DRIVER_6D3A78A4,ANON,DRIVER,TRIP_4DAFD192,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 08:11:03,-0.54,-0.54,0.0,0.0,0,0.0,0.0,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_EA1A0DFD,DRIVER_43751F41,ANON,DRIVER,TRIP_4EE055BA,trip completed order,Fleet_Operator_India,FOC,2025-04-18 08:16:50,-28.0,498.11,-581.12,498.11,0,437.32,60.0,0.0,0.0,0.0,0.0,0.0,0.0,55.01,0.0,0.79,0.0,0.0,0.0,0.0
TXN_DE7EEAEE,DRIVER_43751F41,ANON,DRIVER,TRIP_4EE055BA,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 08:16:53,-0.58,-0.58,0.0,0.0,0,0.0,0.0,-0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_201A8034,DRIVER_C5F858AE,ANON,DRIVER,TRIP_02518942,trip completed order,Fleet_Operator_India,FOC,2025-04-18 08:22:54,-8.1,161.84,-169.94,161.84,0,143.74,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_62D67729,DRIVER_C5F858AE,ANON,DRIVER,TRIP_02518942,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 08:22:57,-0.17,-0.17,0.0,0.0,0,0.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_03574BE3,DRIVER_9A065E6D,ANON,DRIVER,TRIP_9F9E5F59,trip completed order,Fleet_Operator_India,FOC,2025-04-18 08:26:25,2.42,302.34,-299.92,272.34,0,243.76,28.58,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_9E66B3C1,DRIVER_9A065E6D,ANON,DRIVER,TRIP_9F9E5F59,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 08:26:28,-0.27,-0.27,0.0,0.0,0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_C40C359C,DRIVER_BCC62548,ANON,DRIVER,TRIP_0E860F3F,trip completed order,Fleet_Operator_India,FOC,2025-04-18 08:33:46,45.5,425.46,-379.96,395.46,0,382.12,13.34,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_77F9507B,DRIVER_BCC62548,ANON,DRIVER,TRIP_0E860F3F,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 08:33:49,-0.36,-0.36,0.0,0.0,0,0.0,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
